entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-08-11 14:00:00+00:00,2025-08-11 19:00:00+00:00,LONG,120349.80770312498,118922.1385078125,-5.756597415831867,0.0037221192760806907
2025-08-11 20:00:00+00:00,2025-08-12 16:00:00+00:00,LONG,119003.57218749999,119512.61775,1.4652745693976064,0.0037616191111587353
2025-08-12 17:00:00+00:00,2025-08-13 10:00:00+00:00,SHORT,119116.280109375,120597.58648437499,-6.020735249185422,0.0037584870216604447
2025-08-13 11:00:00+00:00,2025-08-13 13:00:00+00:00,SHORT,120484.6369453125,121837.80984374999,-5.476887551161676,0.003713117145802705
2025-08-13 14:00:00+00:00,2025-08-13 19:00:00+00:00,SHORT,120901.6570078125,122931.95758593749,-7.962351695271342,0.0036978596427544737
2025-08-13 20:00:00+00:00,2025-08-14 12:00:00+00:00,SHORT,122800.23309375,119070.22471093749,13.133935948412843,0.0036372641605465594
2025-08-14 13:00:00+00:00,2025-08-15 09:00:00+00:00,LONG,118607.33259374999,118621.8297421875,-0.39267436430908687,0.0037711939128063157
2025-08-15 10:00:00+00:00,2025-08-16 06:00:00+00:00,SHORT,118857.0630234375,117598.089984375,4.294899097373524,0.0037629169107333627
2025-08-16 07:00:00+00:00,2025-08-17 03:00:00+00:00,SHORT,117598.7288671875,117883.06999218749,-1.5303894280030523,0.0038048169330858104
2025-08-17 04:00:00+00:00,2025-08-18 00:00:00+00:00,SHORT,118052.98509375,117420.95990624999,1.9500097073236813,0.0037893386854626868
2025-08-18 01:00:00+00:00,2025-08-18 06:00:00+00:00,LONG,116516.80665624999,115172.0251875,-5.606137956242489,0.0038399428334684443
2025-08-18 18:00:00+00:00,2025-08-19 14:00:00+00:00,SHORT,116436.306515625,114051.92235937499,8.718071525258864,0.0038399981267582426
2025-08-19 15:00:00+00:00,2025-08-20 11:00:00+00:00,LONG,113900.83392187499,113482.919109375,-2.087919400148429,0.003929108605384994
2025-08-21 06:00:00+00:00,2025-08-21 15:00:00+00:00,LONG,113941.53082812499,112674.634453125,-5.417013347564776,0.003926592622232763
2025-08-21 16:00:00+00:00,2025-08-22 12:00:00+00:00,LONG,112481.14221093748,112173.0271875,-1.6706308520080393,0.00397496633445506
2025-08-22 14:00:00+00:00,2025-08-22 20:00:00+00:00,SHORT,115777.5050390625,117096.15104687499,-5.543225866267634,0.0038608783840905453
2025-08-22 22:00:00+00:00,2025-08-23 03:00:00+00:00,LONG,116831.28488281248,115399.5708515625,-5.9153747861565025,0.0038234909046893917
2025-08-23 04:00:00+00:00,2025-08-23 14:00:00+00:00,LONG,115985.8621796875,114493.907109375,-6.182608094567116,0.003848617778380574
2025-08-23 15:00:00+00:00,2025-08-24 11:00:00+00:00,LONG,114920.32114062499,114596.75728125,-1.700684498727307,0.0038814179870976023
2025-08-24 12:00:00+00:00,2025-08-24 19:00:00+00:00,LONG,114761.43585156249,112336.6992890625,-9.858702474750542,0.003885856440660496
2025-08-24 20:00:00+00:00,2025-08-25 07:00:00+00:00,LONG,112749.59789843748,111346.089328125,-5.9846207012621875,0.003950623687345707
2025-08-25 08:00:00+00:00,2025-08-25 16:00:00+00:00,SHORT,111423.0825703125,112681.5064375,-5.477252361256981,0.003994771274782454
2025-08-25 20:00:00+00:00,2025-08-26 16:00:00+00:00,SHORT,109696.5452109375,110171.93687499998,-2.3744290177251623,0.0040549464036421096
2025-08-26 20:00:00+00:00,2025-08-27 16:00:00+00:00,SHORT,111235.028625,112259.76480468748,-4.545249866006336,0.00399759549541442
2025-08-27 17:00:00+00:00,2025-08-28 13:00:00+00:00,SHORT,112274.4491015625,112863.04717187499,-2.776638533528944,0.003958364140676426
2025-08-28 14:00:00+00:00,2025-08-29 07:00:00+00:00,SHORT,113095.869046875,110022.521984375,11.640502830922962,0.003928190338847419
